,title,order,body,A,B,C,D,E,resposta,resolucao
10,"ENEM2023LIN06: Mestre e companheiro, disse eu",11,"<div class=""dangerous-html""><div>Mestre e companheiro, disse eu que nos íamos despedir. Mas disse mal. A morte não extingue: transforma; não aniquila: renova; não divorcia: aproxima. Um dia supuseste ""morta e separada"" a consorte dos teus sonhos e das tuas agonias, que to soubera ""pôr um mundo inteiro no recanto"" do teu ninho; e, todavia, nunca ela te esteve mais presente, no íntimo de ti mesmo e na expressão do teu canto, no fundo do teu ser e na face de tuas ações. Esses catorze versos inimitáveis, em que o enlevo dos teus discípulos resume o valor de toda uma literatura, eram a aliança de ouro do teu segundo noivado, um anel de outras núpcias, para a vida nova do teu renascimento e da tua glorificação, com a sócia sem nódoa dos teus anos de mocidade e madureza, da florescência e frutificação de tua alma. Para os eleitos do mundo das ideias a miséria está na decadência, e não na morte. A nobreza de uma nos preserva das ruínas da outra. Quando eles atravessavam essa passagem do invisível, que os conduz à região da verdade sem mescla, então é que entramos a sentir o começo do seu reino, o reino dos mortos sobre os vivos.</div><div><br></div><div style=""text-align:right""><span>BARBOSA R. <strong>O adeus da Academia a Machado de Assis</strong>. Rio de Janeiro: Agir, 1962.</span></div><div><br></div><div>Esse é um trecho do discurso de Rui Barbosa na Academia Brasileira de Letras em homenagem a Machado de Assis por ocasião de sua morte. Uma das características desse discurso de homenagem é a presença de</div></div>","<div class=""exercise-answer__content dangerous-html"">metáforas relacionadas à trajetória pessoal e criadora do homenageado.</div>","<div class=""exercise-answer__content dangerous-html""><div>recursos fonológicos empregados para a valorização do ritmo do texto.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>frases curtas e diretas no relato da vida e da morte do homenageado.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>contraposição de ideias presentes na obra do homenageado.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>seleção vocabular representativa do sentimento de nostalgia.</div></div>",A,"<div class=""dangerous-html""><p><br></p></div>"
11,ENEM2023LIN07: Disponível em: www.facebook.com,12,"<div><p style=""text-align:center""><br><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMy0xMS0wNSAyMzo1MzowOSArMDAwMDQzOTM1Nw==.png"" data-filename=""64473""></p><p style=""text-align:right""><span>Disponível em: </span><span>www.facebook.com/minsaude.</span><span><span> Acesso em: 13 jun. 2016</span>.</span></p><p>Essa campanha publicitária do Ministério&nbsp;da Saúde visa&nbsp;</p></div>","<div class=""exercise-answer__content dangerous-html""><div>divulgar um conjunto de benefícios proporcionados pela amamentação.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>apresentar tratamentos para infecções respiratórias em bebês.</div></div>","<div class=""exercise-answer__content dangerous-html"">defender o direito das mulheres de amamentar em público.</div>","<div class=""exercise-answer__content dangerous-html""><div>orientar sobre os exercícios para uma boa amamentação.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>informar sobre o aumento de anticorpos nas mães.</div></div>",A,"<div class=""dangerous-html""><p><br></p></div>"
12,ENEM2023LIN08: Carta aberta à população brasil,13,"<div class=""dangerous-html""><div style=""text-align:center""><strong>Carta aberta à população brasileira</strong></div><div><br></div><div>&nbsp;&nbsp;&nbsp;&nbsp;Prezados Cidadãos e Cidadãs,</div><div><br></div><div>&nbsp;&nbsp;&nbsp;&nbsp;O envelhecimento populacional é um fenômeno mundial. Infelizmente, nosso país ainda não está preparado para atender às demandas dessa população.</div><div>&nbsp;&nbsp;&nbsp;&nbsp;Este é o retrato da saúde pública no Brasil, que, apesar dos indiscutíveis avanços, apresenta um cenário de deficiências e falta de integração em todos os níveis de atenção à saúde: primária (atendimento deficiente nas unidades de saúde da atenção básica), secundária (carência de centros de referência com atendimento por especialistas) e terciária (atendimento hospitalar com abordagem ao idoso centrada na doença), ou seja, não há, na prática, uma rede de atenção à saúde do idoso.</div><div>&nbsp;&nbsp;&nbsp;&nbsp;Diante desse cenário, a Sociedade Brasileira de Geriatria e Gerontologia (SBGG) vem a público manifestar suas preocupações com a presente e o futuro dos idosos no Brasil. É preciso garantir a saúde como direito universal.</div><div>&nbsp;&nbsp;&nbsp;&nbsp;Esperamos que tanto nossos atuais quanto os futuros governantes e legisladores reflitam sobre a necessidade de investir na saúde e na qualidade de vida associada ao envelhecimento.</div><div>&nbsp;&nbsp;&nbsp;&nbsp;Dignidade à saúde do idoso! </div><div>&nbsp;&nbsp;&nbsp;&nbsp;Rio de Janeiro, 15 de setembro de 2014.</div><div><br></div><div style=""text-align:right""><span>Disponível em: www.sbgg.org br. Acesso em: 20 out. 2021 (adaptado).</span></div><div><br></div><div>O objetivo desse texto é</div></div>","<div class=""exercise-answer__content dangerous-html"">sensibilizar o idoso a respeito dos cuidados com a saúde.</div>","<div class=""exercise-answer__content dangerous-html"">alertar os governantes sobre os cuidados requeridos pelo idoso.</div>","<div class=""exercise-answer__content dangerous-html""><div>divulgar o trabalho da Sociedade Brasileira de Geriatria e Gerontologia.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>informar o setor público sobre o retrocesso da legislação destinada à população idosa.</div></div>","<div class=""exercise-answer__content dangerous-html"">chamar a atenção da população sobre a qualidade dos serviços de saúde pública para o idoso.</div>",E,"<div class=""dangerous-html""><p><br></p></div>"
13,ENEM2023LIN09: ,14,"<div class=""dangerous-html""><div>&nbsp;&nbsp;&nbsp;&nbsp;A petição on-line criada por um cidadão paulista surtiu efeito: casado há três anos com seu companheiro, ele pedia a alteração da definição de ""casamento"" no tradicional dicionário <i>Michaelis</i> em português. Na definição anterior, casamento aparecia como ""união legítima entre homem e mulher"" e ""união legal entre homem e mulher, para constituir família"".</div><div>&nbsp;&nbsp;&nbsp;&nbsp;O novo verbete não traz em nenhum momento as palavras homem ou mulher — agora a definição de casamento se refere a ""pessoas"".&nbsp;</div><div>&nbsp;&nbsp;&nbsp;&nbsp;Para o diretor de comunicação do site onde a petição foi publicada, a iniciativa mostra a ""eficiência da mobilização"". ""Em dois dias, mudou-se uma definição que permanecia a mesma há décadas"", afirma. E conclui: ""A plataforma serve para todos os tipos de causas, para as mudanças que importam para as pessoas."".</div><div><br></div><div style=""text-align:right""><span>SENRA, R. Disponível em: www.bbc.com. Acesso em: 29 out. 2015.</span></div><div><br></div><div>A notícia trata da mudança ocorrida em um dicionário da língua portuguesa. Segundo o texto, essa mudança foi impulsionada pela</div></div>","<div class=""exercise-answer__content dangerous-html""><div>inclusão de informações no verbete.</div></div>","<div class=""exercise-answer__content dangerous-html"">relevância social da instituição casamento.</div>","<div class=""exercise-answer__content dangerous-html""><div>utilização pública da petição pelos cidadãos.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>rapidez na disseminação digital do verbete.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>divulgação de plataformas para a criação de petição.</div></div>",C,"<div class=""dangerous-html""><p><br></p></div>"
14,ENEM2023LIN10: ,15,"<div class=""dangerous-html""><div>&nbsp;&nbsp;&nbsp;&nbsp;A neozelandesa Laurel Hubbard fez história nos Jogos Olímpicos. Apesar de ter ficado de fora da disputa por medalhas, a levantadora de peso deixou sua marca na edição de Tóquio por ser a primeira mulher abertamente transgênero a participar de uma competição olímpica. No início da carreira, na década de 1990, a neozelandesa participava de disputas na categoria masculina. Em 2001, aos 23 anos, ela se afastou da atividade. ""A pressão de tentar me encaixar em um mundo que talvez não tenha sido feito para pessoas como eu se tornou um fardo muito grande para suportar."" Em 2012, Laurel começou sua transição de gênero por meio de terapias hormonais e, em 2013, declarou abertamente ser uma mulher trans. Para o Comitê Olímpico Internacional, a participação de mulheres trans nos Jogos é permitida caso o nível de testosterona, hormônio que aumenta a massa muscular, esteja abaixo de 10 nanomols por litro por pelo menos 12 meses.</div><div><br></div><div style=""text-align:right""><span>Disponível em: https://revistagalileu.globo.com. Acesso em: 18 nov. 2021 (adaptado).</span></div><div><br></div><div>No texto, os limites do potencial inclusivo do esporte são dados pela</div></div>","<div class=""exercise-answer__content dangerous-html"">dificuldade de conseguir bons resultados esportivos.</div>","<div class=""exercise-answer__content dangerous-html""><div>dependência de características biológicas padronizadas.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>inexistência de uma categoria para pessoas transgênero.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>necessidade de afastamento temporário das competições.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>impossibilidade de uso controlado de substâncias exógenas.</div></div>",B,"<div class=""dangerous-html""><p><br></p></div>"
15,"ENEM2023LIN11: ""Ganhei 25 medalhas em mundiais",16,"<div class=""dangerous-html""><div>""Ganhei 25 medalhas em mundiais, sete em Jogos Olímpicos, e sou uma sobrevivente de abuso sexual."" Foi assim que Simone Biles se apresentou ao comitê do Senado norte-americano que investiga as supostas falhas do FBI no caso Larry Nassar. Biles e outras três atletas vítimas dos abusos do ex-médico da equipe de ginástica feminina dos EUA, exigiram que os agentes da investigação sejam processados por falta de ação prévia contra Nassar, agora preso. Biles esclareceu que culpa Larry Nassar e ""todo o sistema que o permitiu e o perpetrou"", acusando a Federação de Ginástica e o Comitê Olímpico dos Estados Unidos de saberem ""muito antes"" que ela havia sofrido abusos. A melhor ginasta do mundo é um ícone. Nos Jogos Olímpicos de Tóquio, uma lesão psicológica a impediu de competir como previa. No entanto, ela chegou ao topo como uma líder no trabalho de acabar com o preconceito com os problemas de saúde mental. ""Não quero que nenhum outro atleta olímpico sofra o horror que eu e outras centenas suportamos e continuamos suportando até hoje"", afirmou.</div><div><br></div><div style=""text-align:right""><span>Disponível em: </span><span>https://brasil.elpais.com.</span><span> Acesso em: 31 out. 2021 (adaptado).</span></div><div><br></div><div>O fato relatado na notícia chama a atenção acerca da necessidade de reflexão sobre a relação entre o esporte e</div></div>","<div class=""exercise-answer__content dangerous-html""><div>o desempenho atlético internacional.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>a dimensão emocional dos atletas.</div></div>","<div class=""exercise-answer__content dangerous-html"">os comitês olímpicos nacionais.</div>","<div class=""exercise-answer__content dangerous-html"">as instituições de inteligência.</div>","<div class=""exercise-answer__content dangerous-html"">as federações esportivas.</div>",B,"<div class=""dangerous-html""><p><br></p></div>"
16,ENEM2023LIN12: O acesso às Práticas Corporais/,17,"<div class=""dangerous-html""><div>O acesso às Práticas Corporais/Atividades Físicas (PC/AF) é desigual no Brasil, à semelhança de outros indicadores sociais e de saúde. Em geral, PC/AF prazerosas, diversificadas, mais afeitas ao período de lazer estão concentradas nas populações mais abastadas. As atividades físicas de deslocamento, trajetos a pé ou de bicicleta para estudar ou trabalhar, por exemplo, são mais frequentes na classe social menos favorecida. Aqui, há uma relação inversa e perversa entre variáveis socioeconômicas de acesso às PC/AF. As maiores prevalências de inatividade física foram em mulheres, pessoas com 60 anos ou mais, negros, pessoas com autoavaliação de saúde ruim ou muito ruim, com renda familiar de até quatro salários mínimos por pessoa, pessoas que desconhecem programas públicos de PC/AF e residentes em áreas sem locais públicos para a prática.</div><div><br></div><div style=""text-align:right""><span>KNUTH, A. G; ANTUNES, P. C. </span><strong><span>Saúde e Sociedade</span></strong><span>, n.2, 2021 (adaptado).</span></div><div><br></div><div>O fator central que impacta a realização de práticas corporais/atividades físicas no tempo de lazer no Brasil é a</div></div>","<div class=""exercise-answer__content dangerous-html"">diferença entre homens e mulheres.</div>","<div class=""exercise-answer__content dangerous-html""><div>inexistência de políticas públicas.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>diversidade de faixa etária.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>variação de condição étnica.</div></div>","<div class=""exercise-answer__content dangerous-html"">desigualdade entre classes sociais.</div>",E,"<div class=""dangerous-html""><p><br></p></div>"
17,ENEM2023LIN13: A indústria do esporte eletrôni,18,"<div class=""dangerous-html""><div>A indústria do esporte eletrônico é um mercado que está crescendo em um ritmo mais rápido do que a economia mundial. Sua popularidade cresceu muito e no Brasil não é diferente. De acordo com os dados de uma pesquisa, mais de 64% dos brasileiros que jogam videogame já ouviram falar de esporte eletrônico. No entanto, o que chama a atenção é o crescimento superior a 10% do público praticante comparado ao ano anterior, que subiu de 44,7% para 55,4%. Trata-se de um percentual expressivo, já que o Brasil está no top 3 dentre os países que têm maior número de espectadores de esporte eletrônico do mundo. Comparado ao ano anterior, em 2020, o Brasil teve um marco de crescimento de 20% na audiência. Mundo afora, a árdua dedicação de grandes gamers contribuiu para o reconhecimento do Comitê Olímpico Internacional, aliado a outras cinco federações esportivas e suas desenvolvedoras de jogos, que direcionaram um olhar mais atento ao assunto, permitindo dar o primeiro passo para concretizar, pela primeira vez na história dos jogos eletrônicos, um evento olímpico oficial.</div><div><br></div><div style=""text-align:right""><span>Disponível em: https://chicoterra.com. Acesso em: 19 nov. 2021 (adaptado).</span></div><div><br></div><div>O contexto em que o esporte eletrônico é apresentado no texto demonstra o(a)</div></div>","<div class=""exercise-answer__content dangerous-html"">condição favorável à expansão dessa modalidade.</div>","<div class=""exercise-answer__content dangerous-html"">promoção dessa prática por jogadores profissionais.</div>","<div class=""exercise-answer__content dangerous-html""><div>impulsionamento de um processo de marketing.</div></div>","<div class=""exercise-answer__content dangerous-html"">favorecimento de fabricantes dos jogos.</div>","<div class=""exercise-answer__content dangerous-html"">modificação da audiência televisiva.</div>",A,"<div class=""dangerous-html""><p><br></p></div>"
18,ENEM2023LIN14: O Marabaixo é uma expressão art,19,"<div class=""dangerous-html""><div>O Marabaixo é uma expressão artístico-cultural formada nas tradições e na identificação cultural entre as comunidades negras do Amapá. O nome remonta às mortes de escravizados em navios negreiros que eram jogados na água Em sua homenagem, hinos de lamento eram cantados mar abaixo, mar acima. Posteriormente, o Marabaixo se integrou à vivência das comunidades negras em um ciclo de danças, cantorias com tambores e festas religiosas, recebendo, em 2018, o título de Patrimônio Cultural do Brasil.</div><div><br></div><div style=""text-align:right""><span>Disponível em: http://portal.iphan.gov.br. Acesso em: 15 nov. 2021 (adaptado).</span></div><div><br></div><div>A manifestação do Marabaixo se constituiu em expressão de arte e cultura, exercendo função de</div></div>","<div class=""exercise-answer__content dangerous-html"">ressignificar episódios dramáticos em novas práticas culturais.</div>","<div class=""exercise-answer__content dangerous-html"">adaptar coreografias como imitação dos movimentos do mar.</div>","<div class=""exercise-answer__content dangerous-html"">lembrar dos mortos no passado escravista como forma de lamento.</div>","<div class=""exercise-answer__content dangerous-html""><div>perpetuar uma narrativa de apagamento dos fatos históricos traumáticos.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>ritualizar a passagem de atos fúnebres nas produções coletivas com espírito festivo.</div></div>",A,"<div class=""dangerous-html""><p><br></p></div>"
19,ENEM2023LIN15: O uso das redes sociais como fo,20,"<div class=""dangerous-html""><div>O uso das redes sociais como forma de ampliar universos foi uma descoberta recente para o artista Wolney Fernandes, que começou a criar quando o ambiente em Goiás era mais árido em relação às artes visuais. ""Hoje, ser diferente é uma potência e quem sabe o que quer com a própria arte encontra espaço"", diz. As colagens artísticas do goiano aparecem em capas de obras literárias pelo Brasil e exterior.</div><div><br></div><div style=""text-align:right""><span>Disponível em: https://opopular.com br. Acesso em: 15 nov. 2021 (adaptado).</span></div><div><br></div><div>O artista goiano Wolney Fernandes busca expor seu trabalho por meio de plataformas virtuais com o objetivo de</div></div>","<div class=""exercise-answer__content dangerous-html""><div>dar suporte à técnica de colagem em Artes Visuais, contornando dificuldades práticas.&nbsp;</div></div>","<div class=""exercise-answer__content dangerous-html""><div>aproximar-se da estética visual própria da editoração de obras artísticas, como capas de livros.</div></div>","<div class=""exercise-answer__content dangerous-html"">oferecer uma vitrine internacional para sua produção artística, a fim de dar mais visibilidade a suas obras.</div>","<div class=""exercise-answer__content dangerous-html"">enfatizar o caráter original e inovador de suas criações artísticas, diferenciando-se das artes tradicionais.</div>","<div class=""exercise-answer__content dangerous-html"">trazer um sentido tecnológico às suas colagens, uma vez que as imagens artísticas são recorrentes nas redes sociais.</div>",C,"<div class=""dangerous-html""><p><br></p></div>"
20,ENEM2023LIN16: ,21,"<div class=""dangerous-html""><div>&nbsp;&nbsp;&nbsp;&nbsp;O mais antigo grupo de rap indígena do país, Brô MCs, surgiu em 2009, na aldeia Jaguapiru, em Dourados, Mato Grosso do Sul. Os integrantes conheceram o rap pelo rádio, ouvindo um programa que apresentava cantores e grupos brasileiros desse gênero musical. O Brô MCs conseguiu influenciar outros a fazerem rap e a lutarem pelas causas indígenas. Um dos nomes do movimento, Kunumí MC, é um jovem de 16 anos, da aldeia Krukutu, em São Paulo. O adolescente enxerga o rap como uma cultura da defesa e começou a fazer rimas quando percebeu que a poesia, pela qual sempre se interessou, podia virar música Nas letras que cria, inspiradas tanto pelo rap quanto pelos ritmos indígenas, tenta incluir sempre assuntos aos quais acha importante dar voz, principalmente, a questão da demarcação de terras.</div><div><br></div><div style=""text-align:right""><span>Disponível em: www.correiobraziliense.com.br. Acesso em: 13 nov. 2021 (adaptado).</span></div><div><br></div><div>O movimento rap dos povos originários do Brasil revela o(a):</div></div>","<div class=""exercise-answer__content dangerous-html"">fusão de manifestações artísticas urbanas contemporâneas com a cultura indigena.</div>","<div class=""exercise-answer__content dangerous-html""><div>contraposição das temáticas socioambientais indígenas às questões urbanas.</div></div>","<div class=""exercise-answer__content dangerous-html"">rejeição da indústria radiofônica às músicas indígenas.</div>","<div class=""exercise-answer__content dangerous-html"">distanciamento da realidade social indígena.</div>","<div class=""exercise-answer__content dangerous-html""><div>estímulo ao estudo da poesia indígena.</div></div>",A,"<div class=""dangerous-html""><p><br></p></div>"
21,ENEM2023LIN17: ﻿O sol começa a descer por trás,22,"<div class=""dangerous-html""><div style=""text-align:justify""><span>﻿</span>O sol começa a descer por trás da vegetação da Ilha da Restinga na outra margem do rio Paraíba, colorindo o céu de amarelo, laranja e lilás. Então se ouvem as primeiras notas do <i>Bolero</i>, do compositor francês Maurice Ravel, executadas pelo saxofonista Jurandy. É assim o pôr do sol da praia do Jacaré, em Cabedelo (Grande João Pessoal. Depois do <i>Bolero</i>, Jurandy toca <i>Asa branca</i>, de Luiz Gonzaga, e<i> Meu sublime torrão</i>, de Genival Macedo, espécie de hino não oficial da Paraíba.&nbsp;</div><div><br></div><div style=""text-align:right""><span>PINHEIRO A. </span><strong><span>Sol se põe embalado pelo Bolero de Ravel</span></strong><span>. Disponível em: http://tools.folha.com.br. Acesso em: 16 set. 2012 (adaptado).</span></div><div><br></div><div>A interpretação musical de Jurandy do Sax, codinome de José Jurandy Félix, apresenta um repertório caracterizado pela</div></div>","<div class=""exercise-answer__content dangerous-html""><div>inter-relação de referenciais estéticos aparentemente distanciados.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>valorização de músicas que revelam mensagens de serenidade.</div></div>","<div class=""exercise-answer__content dangerous-html"">consagração do repertório erudito como cultura dominante.</div>","<div class=""exercise-answer__content dangerous-html""><div>iniciativa de estímulo à vocação turística da cidade.</div></div>","<div class=""exercise-answer__content dangerous-html"">divisão hierárquica entre gêneros e estilos musicais.</div>",A,"<div class=""dangerous-html""><p><br></p></div>"
22,ENEM2023LIN18: TEXTO ISEGALL L. Eternos caminh,23,"<div><p style=""text-align:left""><strong>TEXTO I</strong><br></p><p style=""text-align:center""><img src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMy0xMS0wNSAyMjozMjo0NiArMDAwMDM1MTU4Mw==.png"" data-filename=""64450""></p><p style=""text-align:right""><span>SEGALL L. <strong>Eternos caminhantes</strong>. Óleo sobre tela, 138 x 184 cm. Museu Lasar Segall, IbramMinc, São Paulo, 1919.</span></p><p><strong>TEXTO II</strong></p><p>&nbsp;&nbsp;&nbsp;&nbsp;Em 1933, a obra<i> Eternos caminhantes</i> ingressou em uma das primeiras edições das exposições de Arte Degenerada, promovida por membros do partido nazista alemão. Nos anos seguintes, ela voltaria a ser exibida na mostra denominada <i>Exposição da Vergonha</i>, promovida por pequenos grupos abastados. Em 1937, essa obra foi confiscada pelo Ministério da Propaganda daquele país, na grande ação nacional-socialista contra a ""<i>Arte Degenerada</i>"".</p><p style=""text-align:right""><span>SCHWARTZ, J. </span><strong><span>Perseguição à Arte Moderna em tempos de guerra</span></strong><span>. São Paulo: Museu Lasar Segall, 2018 (adaptado).</span></p><p>Quase cinquenta obras de Lasar Segall foram confiscadas pelo regime totalitário alemão na primeira metade do século XX, entre elas a obra <i>Eternos caminhantes</i>, considerada degenerada por</p></div>","<div class=""exercise-answer__content dangerous-html"">representar urna estética tida como inconveniente para o ideário político vigente.&nbsp;</div>","<div class=""exercise-answer__content dangerous-html""><div>manifestar um posicionamento político-cultural concebido por grupos de oposição.</div></div>","<div class=""exercise-answer__content dangerous-html"">expressar a cultura artística por meio da representação parcial do corpo humano.</div>","<div class=""exercise-answer__content dangerous-html""><div>apresentar uma composição que antecipa o imaginário artístico germânico.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>estimular discussões sobre o papel da arte na construção coletiva de cultura.</div></div>",A,"<div class=""dangerous-html""><p><br></p></div>"
23,ENEM2023LIN19: TEXTO I,24,"<div><p><strong>TEXTO I</strong></p><p>&nbsp;&nbsp;&nbsp;&nbsp;Logo no início de <i>Gira</i>, um grupo de sete bailarinas ocupa o centro da cena. Mãos cruzadas sobre a lateral esquerda do quadril, olhos fechados, troncos que pendulam sobre si mesmos em vaguíssimas órbitas, tudo nelas sugere o transe. Está estabelecido o caráter volátil do que se passará no palco dali para frente. Mas engana-se quem pensa que vai assistir a uma representação mimética dos cultos afro-brasileiros.</p><p><strong>TEXTO II</strong></p><p style=""text-align:center""><img data-filename=""64451"" src=""https://raw.githubusercontent.com/NiedsonEmanoel/CDN_ENEMASTER/main/EnemasterParts/MjAyMy0xMS0wNSAyMjozNToxNyArMDAwMDYyMTYxNQ==.png""></p><p style=""text-align:right""><span>Disponível em: www.grupocorpo.com br. Acesso em: 2 jul. 2019.</span></p><div style=""text-align:left"">No diálogo que estabelece com religiões afro-brasileira sintetizado na descrição e na imagem do espetáculo, a dança exprime uma<br></div></div>","<div class=""exercise-answer__content dangerous-html""><div>crítica aos movimentos padronizados do balé clássico.</div></div>","<div class=""exercise-answer__content dangerous-html"">representação contemporânea de rituais ancestrais extintos.</div>","<div class=""exercise-answer__content dangerous-html"">reelaboração estética erudita de práticas religiosas populares.</div>","<div class=""exercise-answer__content dangerous-html""><div>releitura irônica da atmosfera mística presente no culto a entidades.</div></div>","<div class=""exercise-answer__content dangerous-html""><div>oposição entre o resgate de tradições e a efemeridade da vida humana.</div></div>",C,"<div class=""dangerous-html""><p><br></p></div>"
24,ENEM2023LIN20: ,25,"<div class=""dangerous-html""><div style=""text-align:justify"">&nbsp;&nbsp;&nbsp;&nbsp;Era um gato preto, como convinha a um cultor das boas letras, que já lera Poe traduzido por Baudelaire. Preto e gordo. E lerdo. Tão gordo e lerdo que a certa altura observei que ia perdendo inteiramente as qualidades características da raça, que são em suma o ódio de morte aos ratos. Já nem os afugentava! Os ratos de Ouro Preto são também dignos e solenes — não ria — tradicionalistas... descendentes de outros ratos que naqueles mesmos casarões presenciaram acontecimentos importantes da nossa história... No sobrado do desembargador Tomás Antônio Gonzaga, imagine o senhor uma reunião dos sonhadores inconfidentes, com os antepassados daqueles ratos a passearem pelo sótão ou mesmo pelo assoalho por entre as pernas dos homens absortos na esperança da independência nacional! E depois, os ancestres daqueles roedores que eu via agora deslizar sutilmente no meu quarto podiam ter subido pelo poste da ignomínia colonial, onde estava exposta a cabeça do Tiradentes! E quando as órbitas se descarnaram ignominiosamente, podiam até ter penetrado no recesso daquele crânio onde verdadeiramente ardera a literatura, com a simplicidade do heroísmo, a febre nacionalista...&nbsp;</div><div style=""text-align:right""><span>ALPHONSUS, J. </span><strong><span>Contos e novelas</span></strong><span>. Rio de Janeiro: Imago; Brasília: INL, 1976.</span></div><div><br></div><div>Descrevendo seu gato, o narrador remete ao contexto e a protagonistas da Inconfidência para criar um efeito desconcertante centrado no</div></div>","<div class=""exercise-answer__content dangerous-html"">desenho imaginativo do casario colonial de Ouro Preto.</div>","<div class=""exercise-answer__content dangerous-html"">efeito de apagamento de limites entre ficção e realidade.&nbsp;</div>","<div class=""exercise-answer__content dangerous-html""><div>vínculo estabelecido entre animais urbanos e literatura.&nbsp;</div></div>","<div class=""exercise-answer__content dangerous-html"">questionamento sutil quanto à sanidade dos inconfidentes.&nbsp;</div>","<div class=""exercise-answer__content dangerous-html"">contraste entre austeridade pomposa e imagem repugnante.</div>",E,"<div class=""dangerous-html""><p><br></p></div>"
25,ENEM2023LIN21: ,26,"<div class=""dangerous-html""><div>&nbsp;&nbsp;&nbsp;&nbsp;Enquanto estivemos entretidos com os urubus outras coisas andaram acontecendo na cidade. A Companhia baixou novas proibições, umas inteiramente bobocas, só pelo prazer de proibir (ninguém podia cuspir pra cima, nem carregar água em jacá, nem tapar o sol com peneira, como se todo mundo estivesse abusando dessas esquisitices); mas outras bem irritantes, como a de pular muro pra cortar caminho, tática que quase todo mundo que não sofria de reumatismo vinha adotando ultimamente, principalmente os meninos. E não confiando na proibição só, nem na força dos castigos, que eram rigorosos, a Companhia ainda mandou fincar cacos de garrafa nos muros. Achei isso um exagero, e comentei o assunto com mamãe. Meu pai ouviu lá do quarto e veio explicar. Disse que em épocas normais bastava uma coisa ou outra, mas agora a Companhia não podia admitir nenhuma brecha em suas ordens; se alguém desobedecesse à proibição podia se cortar nos cacos; se alguém conseguisse pular um muro quebrando o corte de alguns cacos, ou jogando um couro por cima, era apanhado pela proibição, nhoc — e fez o gesto de quem torce o pescoço de um frango.&nbsp;</div><div><br></div><div style=""text-align:right""><span>VENGA, J.J. <strong>Sombras de reis barbudos</strong>. Rio de Janeiro: Civilização Brasileira, 1978.</span></div><div><br></div><div>Sob a perspectiva do menino que narra, os fatos ficcionais oferecem um esboço do momento político da década de 1970, aqui representado pelo</div></div>","<div class=""exercise-answer__content dangerous-html""><div>culto ao medo, infiltrado em situações do cotidiano.</div></div>","<div class=""exercise-answer__content dangerous-html"">sentimento de dúvida quanto à veracidade das informações.</div>","<div class=""exercise-answer__content dangerous-html"">ambiente de sonho, delineado por imagens perturbadoras.</div>","<div class=""exercise-answer__content dangerous-html"">incentivo ao desenvolvimento econômico com a iniciativa privada.</div>","<div class=""exercise-answer__content dangerous-html""><div>espaço urbano marcado por uma política de isolamento das crianças.</div></div>",A,"<div class=""dangerous-html""><p>A obra de José J. Veiga, situada nas décadas de 60 e 70, embora não sendo isto um ponto pacífico entre os críticos literá- rios, alude sim ao contexto político da Ditadura Militar, momento em que havia muitas proibições, como o Ato Institucional nº 5 viria a confirmar. Assim, a melhor resposta à questão é o item A.<br></p></div>"
